dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,average_precision,roc_auc,oracle_best_f1,event_recall,mean_detection_delay
ETTh1,nlinear,24,first,stuck_with_jitter,42,diff_score,0.017531595065227328,0.40015320647731717,0.04844290657434719,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,42,rolling_zscore,0.01784655707748328,0.4124531594887326,0.045042410061377436,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,42,flatness,0.08472030534219874,0.7212096204191066,0.2093023255810479,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,2024,residual,0.09249509677775697,0.7391746933715779,0.17167381974207954,1.0,9.0
ETTh1,nlinear,24,first,stuck_with_jitter,2024,raw_zscore,0.016617505413635117,0.44228237412513066,0.04434589800437694,0.25,1.0
ETTh1,nlinear,24,first,stuck_with_jitter,2024,diff_score,0.0183324208800117,0.4919491659616438,0.04521404521398283,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,2024,rolling_zscore,0.013558191268541315,0.32841249949102624,0.03936545240889208,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,2024,flatness,0.049444429002060246,0.77069034940484,0.12765957446772283,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,3407,residual,0.04603099546871173,0.6610121190882379,0.11333333333294539,0.5,11.0
ETTh1,nlinear,24,first,stuck_with_jitter,3407,raw_zscore,0.02845716304043277,0.5781078510280238,0.07541478129702218,0.75,0.0
ETTh1,nlinear,24,first,stuck_with_jitter,3407,diff_score,0.027203574594906507,0.5494371767569212,0.06616862326558733,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,3407,rolling_zscore,0.017617715271147465,0.3883769202034867,0.04608019150204839,0.0,
ETTh1,nlinear,24,first,stuck_with_jitter,3407,flatness,0.04098151626675595,0.6959522168265473,0.10295728368001716,0.0,
ETTh1,nlinear,24,mean,drift,42,residual,0.597703906124548,0.8797932502280328,0.5989847715731041,1.0,8.666666666666666
ETTh1,nlinear,24,mean,drift,42,raw_zscore,0.10494572548451586,0.5001109759805412,0.17391304347776146,0.6666666666666666,8.0
ETTh1,nlinear,24,mean,drift,42,diff_score,0.035541587682846223,0.5632137427789601,0.07692307692280778,0.6666666666666666,21.5
ETTh1,nlinear,24,mean,drift,42,rolling_zscore,0.07743548977016365,0.790191547582852,0.16737588652457924,0.0,
ETTh1,nlinear,24,mean,drift,42,flatness,0.01921493793692388,0.2991000304043782,0.0583771161704045,0.0,
ETTh1,nlinear,24,mean,drift,2024,residual,0.504823042096764,0.8857397467226411,0.49999999999950057,1.0,10.666666666666666
ETTh1,nlinear,24,mean,drift,2024,raw_zscore,0.03951437056874978,0.5410653243941324,0.11428571428521431,0.6666666666666666,15.0
ETTh1,nlinear,24,mean,drift,2024,diff_score,0.03291344156674079,0.5619164978383007,0.06930693069273136,0.6666666666666666,17.0
ETTh1,nlinear,24,mean,drift,2024,rolling_zscore,0.05300156856373699,0.7035060604161879,0.12298682284018764,0.0,
ETTh1,nlinear,24,mean,drift,2024,flatness,0.017357572943876454,0.31928402848848136,0.05122166617598777,0.0,
ETTh1,nlinear,24,mean,drift,3407,residual,0.38748319978919243,0.8297587526827792,0.45555555555505955,1.0,16.5
ETTh1,nlinear,24,mean,drift,3407,raw_zscore,0.018254199880738897,0.39214858356627114,0.04865462587535605,1.0,15.5
ETTh1,nlinear,24,mean,drift,3407,diff_score,0.03381375095915642,0.6170576825211858,0.07099799062280308,0.5,24.0
ETTh1,nlinear,24,mean,drift,3407,rolling_zscore,0.056789199933668315,0.7277430727134607,0.13387423935063547,0.0,
ETTh1,nlinear,24,mean,drift,3407,flatness,0.01906297150214693,0.40134747431538426,0.048463356973947984,0.0,
ETTh1,nlinear,24,mean,noise_burst,42,residual,0.565698103711538,0.9128295791863105,0.5781249999995031,1.0,0.375
ETTh1,nlinear,24,mean,noise_burst,42,raw_zscore,0.2542474680504244,0.6411122751877074,0.31325301204791234,1.0,1.5
ETTh1,nlinear,24,mean,noise_burst,42,diff_score,0.7556987128665783,0.9532870612886327,0.7359999999995053,1.0,0.0
ETTh1,nlinear,24,mean,noise_burst,42,rolling_zscore,0.15898285346017454,0.7550331761829928,0.30769230769180833,1.0,0.5
ETTh1,nlinear,24,mean,noise_burst,42,flatness,0.010809558361460008,0.09408940108259123,0.0400929692039119,0.0,
ETTh1,nlinear,24,mean,noise_burst,2024,residual,0.6324488478092689,0.9023931476778719,0.6111111111106551,1.0,0.5
ETTh1,nlinear,24,mean,noise_burst,2024,raw_zscore,0.30225786136921273,0.6936469676752894,0.3908045977008349,1.0,0.875
ETTh1,nlinear,24,mean,noise_burst,2024,diff_score,0.8434660101345249,0.9733783841948953,0.7968749999995043,1.0,0.0
