dataset,model,input_type,horizon,seed,aggregation_method,anomaly_type,anomaly_ratio,magnitude_scale,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,validation_score_mean,validation_score_std,test_score_mean,test_score_std
ETTh1,nlinear,multivariate,96,42,first,level_shift,0.02,3.0,iqr,1.3658823575,77,148,3069,0,0.3422222222222222,1.0,0.509933774834437,0.04600559527510103,0.9539944047248989,3294,77,225,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,level_shift,0.02,3.0,mad,1.4683949059890002,77,113,3104,0,0.4052631578947368,1.0,0.5767790262172284,0.03512589368977308,0.964874106310227,3294,77,190,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,frozen,0.02,3.0,percentile,1.703343551,31,78,3139,46,0.28440366972477066,0.4025974025974026,0.3333333333333333,0.024246192104445136,0.9757538078955549,3294,77,109,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,frozen,0.02,3.0,mean_std,1.6226979206903085,32,87,3130,45,0.2689075630252101,0.4155844155844156,0.32653061224489793,0.027043829654958034,0.972956170345042,3294,77,119,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,frozen,0.02,3.0,iqr,1.3658823575,36,148,3069,41,0.1956521739130435,0.4675324675324675,0.27586206896551724,0.04600559527510103,0.9539944047248989,3294,77,184,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,first,frozen,0.02,3.0,mad,1.4683949059890002,35,113,3104,42,0.23648648648648649,0.45454545454545453,0.3111111111111111,0.03512589368977308,0.964874106310227,3294,77,148,0.4543224808672903,0.389584172530995,0.5061928955883425,0.4782460540041706
ETTh1,nlinear,multivariate,96,42,mean,spike,0.02,3.0,percentile,5.992807184,67,56,3264,2,0.5447154471544715,0.9710144927536232,0.6979166666666665,0.016867469879518072,0.983132530120482,3389,69,123,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,spike,0.02,3.0,mean_std,5.365795180436031,68,93,3227,1,0.422360248447205,0.9855072463768116,0.591304347826087,0.028012048192771085,0.971987951807229,3389,69,161,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,spike,0.02,3.0,iqr,4.3813519,69,242,3078,0,0.22186495176848875,1.0,0.3631578947368421,0.07289156626506024,0.9271084337349398,3389,69,311,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,spike,0.02,3.0,mad,4.74709554068,68,172,3148,1,0.2833333333333333,0.9855072463768116,0.4401294498381877,0.051807228915662654,0.9481927710843373,3389,69,240,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,level_shift,0.02,3.0,percentile,5.992807184,77,57,3255,0,0.5746268656716418,1.0,0.7298578199052133,0.017210144927536232,0.9827898550724637,3389,77,134,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,level_shift,0.02,3.0,mean_std,5.365795180436031,77,95,3217,0,0.4476744186046512,1.0,0.6184738955823293,0.028683574879227052,0.971316425120773,3389,77,172,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,level_shift,0.02,3.0,iqr,4.3813519,77,240,3072,0,0.24290220820189273,1.0,0.3908629441624365,0.07246376811594203,0.927536231884058,3389,77,317,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,level_shift,0.02,3.0,mad,4.74709554068,77,174,3138,0,0.30677290836653387,1.0,0.46951219512195125,0.05253623188405797,0.947463768115942,3389,77,251,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,frozen,0.02,3.0,percentile,5.992807184,6,57,3255,71,0.09523809523809523,0.07792207792207792,0.08571428571428572,0.017210144927536232,0.9827898550724637,3389,77,63,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
ETTh1,nlinear,multivariate,96,42,mean,frozen,0.02,3.0,mean_std,5.365795180436031,9,95,3217,68,0.08653846153846154,0.11688311688311688,0.09944751381215468,0.028683574879227052,0.971316425120773,3389,77,104,1.7803000770516717,1.1955284722179031,2.1141254376762935,1.384649226660077
