dataset,horizon,model,anomaly_type,injection_seed,forecast_mae,forecast_rmse,forecast_wape,average_precision,oracle_best_f1,fixed_f1,fixed_precision,fixed_recall,event_recall,mean_detection_delay
ETTh1,24,transformer,spike,3407,1.4898529052734375,1.9346706281569288,18.933942794799805,1.0,0.9999999999995,0.9379310344827586,0.8831168831168831,1.0,1.0,0.0
ETTh1,24,transformer,level_shift,42,1.4898529052734375,1.9346706281569288,18.933942794799805,1.0,0.9999999999995,0.9390243902439025,0.8850574712643678,1.0,1.0,0.0
ETTh1,24,transformer,level_shift,2024,1.4898529052734375,1.9346706281569288,18.933942794799805,1.0,0.9999999999995,0.9305555555555556,0.8701298701298701,1.0,1.0,0.0
ETTh1,24,transformer,level_shift,3407,1.4898529052734375,1.9346706281569288,18.933942794799805,0.9999999999999999,0.9999999999995,0.9404761904761905,0.8876404494382022,1.0,1.0,0.0
ETTh1,24,transformer,frozen,42,1.4898529052734375,1.9346706281569288,18.933942794799805,0.03612238142327223,0.09180327868814714,0.0,0.0,0.0,0.0,
ETTh1,24,transformer,frozen,2024,1.4898529052734375,1.9346706281569288,18.933942794799805,0.11043110245460123,0.26016260162552024,0.075,0.23076923076923078,0.04477611940298507,0.25,12.0
ETTh1,24,transformer,frozen,3407,1.4898529052734375,1.9346706281569288,18.933942794799805,0.025677912148206597,0.060975609755996245,0.0,0.0,0.0,0.0,
ETTh1,96,naive,spike,42,2.3309926986694336,3.061985361882757,29.489227294921875,1.0000000000000002,0.9999999999995,0.6536585365853659,0.4855072463768116,1.0,1.0,0.0
ETTh1,96,naive,spike,2024,2.3309926986694336,3.061985361882757,29.489227294921875,0.999780509218613,0.9925925925920926,0.6568627450980392,0.48905109489051096,1.0,1.0,0.0
ETTh1,96,naive,spike,3407,2.3309926986694336,3.061985361882757,29.489227294921875,1.0,0.9999999999995,0.6538461538461539,0.4857142857142857,1.0,1.0,0.0
ETTh1,96,naive,level_shift,42,2.3309926986694336,3.061985361882757,29.489227294921875,1.0,0.9999999999995,0.6844444444444445,0.5202702702702703,1.0,1.0,0.0
ETTh1,96,naive,level_shift,2024,2.3309926986694336,3.061985361882757,29.489227294921875,1.0000000000000002,0.9999999999995,0.6473429951690821,0.4785714285714286,1.0,1.0,0.0
ETTh1,96,naive,level_shift,3407,2.3309926986694336,3.061985361882757,29.489227294921875,0.9999999999999999,0.9999999999995,0.6839826839826839,0.5197368421052632,1.0,1.0,0.0
ETTh1,96,naive,frozen,42,2.3309926986694336,3.061985361882757,29.489227294921875,0.18539066575244617,0.3538461538456709,0.30857142857142855,0.2755102040816326,0.35064935064935066,0.6,3.0
ETTh1,96,naive,frozen,2024,2.3309926986694336,3.061985361882757,29.489227294921875,0.09168205836274929,0.22222222222172228,0.1935483870967742,0.17045454545454544,0.22388059701492538,0.75,5.666666666666667
ETTh1,96,naive,frozen,3407,2.3309926986694336,3.061985361882757,29.489227294921875,0.09265903669111819,0.1931034482753661,0.17964071856287428,0.17045454545454544,0.189873417721519,0.75,4.0
ETTh1,96,linear,spike,42,2.281933546066284,2.9637420175381317,28.86858367919922,0.9995577424554142,0.9925925925920926,0.6146788990825688,0.44370860927152317,1.0,1.0,0.0
ETTh1,96,linear,spike,2024,2.281933546066284,2.9637420175381317,28.86858367919922,0.994165535956581,0.9924812030070188,0.6118721461187214,0.4407894736842105,1.0,1.0,0.0
ETTh1,96,linear,spike,3407,2.281933546066284,2.9637420175381317,28.86858367919922,0.9999999999999998,0.9999999999995,0.6098654708520179,0.43870967741935485,1.0,1.0,0.0
ETTh1,96,linear,level_shift,42,2.281933546066284,2.9637420175381317,28.86858367919922,1.0,0.9999999999995,0.6390041493775933,0.4695121951219512,1.0,1.0,0.0
ETTh1,96,linear,level_shift,2024,2.281933546066284,2.9637420175381317,28.86858367919922,0.9995577424554142,0.9925925925920926,0.6118721461187214,0.4407894736842105,1.0,1.0,0.0
